Total:

Tipo        | Gabarito | Algoritmo | ambos   | Precisão |  Recall  | F-measure
        dim7|       202|        108|      786|     87.9%|     79.6%|     83.5%
         aug|       100|        123|       43|     25.9%|     30.1%|     27.8%
         inc|       288|        699|       90|     11.4%|     23.8%|     15.4%
        hdim|       845|        928|     1481|     61.5%|     63.7%|     62.6%
         dim|       388|       1261|     2681|     68.0%|     87.4%|     76.5%
      menor7|      1663|       1312|     3598|     73.3%|     68.4%|     70.8%
         mel|      9343|       1422|    10715|     88.3%|     53.4%|     66.6%
      maior7|       983|       1691|     8394|     83.2%|     89.5%|     86.2%
     maior7+|       463|       1821|      955|     34.4%|     67.3%|     45.5%
       menor|      1203|       2624|    14858|     85.0%|     92.5%|     88.6%
       maior|      1566|       4499|    34605|     88.5%|     95.7%|     92.0%

ES-Knn
Tipo        | Gabarito | Algoritmo | ambos   | Precisão |  Recall  | F-measure
         aug|        15|          1|        0|      0.0%|      0.0%|      0.0%
         dim|        21|        139|      320|     69.7%|     93.8%|     80.0%
        dim7|        29|         10|       81|     89.0%|     73.6%|     80.6%
        hdim|       104|         29|      146|     83.4%|     58.4%|     68.7%
         inc|        33|         19|        8|     29.6%|     19.5%|     23.5%
       maior|       144|        267|     3860|     93.5%|     96.4%|     94.9%
      maior7|        57|        174|      984|     85.0%|     94.5%|     89.5%
     maior7+|        62|        233|       95|     29.0%|     60.5%|     39.2%
         mel|       755|        200|     1489|     88.2%|     66.4%|     75.8%
       menor|       126|        162|     1656|     91.1%|     92.9%|     92.0%
      menor7|        91|        156|      494|     76.0%|     84.4%|     80.0%
         avg|          |           |         |     66.8%|     67.3%|     65.8%

S-Pardo-Birmingham
Tipo        | Gabarito | Algoritmo | ambos   | Precisão |  Recall  | F-measure
         aug|        17|          0|        0|      0.0%|      0.0%|      0.0%
         dim|        14|        166|      334|     66.8%|     96.0%|     78.8%
        dim7|         4|          6|      106|     94.6%|     96.4%|     95.5%
        hdim|        44|        299|      218|     42.2%|     83.2%|     56.0%
         inc|        43|          0|        0|      0.0%|      0.0%|      0.0%
       maior|        92|       1914|     3965|     67.4%|     97.7%|     79.8%
      maior7|        48|        363|      997|     73.3%|     95.4%|     82.9%
     maior7+|       160|          0|        0|      0.0%|      0.0%|      0.0%
         mel|      2204|          0|        0|      0.0%|      0.0%|      0.0%
       menor|        75|        433|     1722|     79.9%|     95.8%|     87.1%
      menor7|       593|          0|        0|      0.0%|      0.0%|      0.0%
         avg|          |           |         |     38.6%|     51.3%|     43.6%

S-net
Tipo        | Gabarito | Algoritmo | ambos   | Precisão |  Recall  | F-measure
         aug|         2|         20|       14|     41.2%|     87.5%|     56.0%
         dim|        10|        116|      332|     74.1%|     97.1%|     84.1%
        dim7|         4|          6|      106|     94.6%|     96.4%|     95.5%
        hdim|        70|         48|      189|     79.7%|     73.0%|     76.2%
         inc|        28|         34|       14|     29.2%|     33.3%|     31.1%
       maior|       146|        108|     3856|     97.3%|     96.4%|     96.8%
      maior7|        78|         60|      963|     94.1%|     92.5%|     93.3%
     maior7+|         7|        204|      150|     42.4%|     95.5%|     58.7%
         mel|       591|        118|     1629|     93.2%|     73.4%|     82.1%
       menor|        80|        132|     1700|     92.8%|     95.5%|     94.1%
      menor7|        67|        202|      515|     71.8%|     88.5%|     79.3%
         avg|          |           |         |     73.7%|     84.5%|     77.0%

ES-net
Tipo        | Gabarito | Algoritmo | ambos   | Precisão |  Recall  | F-measure
         aug|        15|          0|        0|      0.0%|      0.0%|      0.0%
         dim|        12|        102|      329|     76.3%|     96.5%|     85.2%
        dim7|         1|         12|      108|     90.0%|     99.1%|     94.3%
        hdim|        70|         51|      189|     78.8%|     73.0%|     75.8%
         inc|        24|         39|       17|     30.4%|     41.5%|     35.1%
       maior|       153|        105|     3849|     97.3%|     96.2%|     96.7%
      maior7|        74|         68|      965|     93.4%|     92.9%|     93.1%
     maior7+|         7|        176|      150|     46.0%|     95.5%|     62.1%
         mel|       543|        152|     1680|     91.7%|     75.6%|     82.9%
       menor|        82|        131|     1698|     92.8%|     95.4%|     94.1%
      menor7|        70|        190|      512|     72.9%|     88.0%|     79.7%
         avg|          |           |         |     70.0%|     77.6%|     72.6%

EC-Knn
Tipo        | Gabarito | Algoritmo | ambos   | Precisão |  Recall  | F-measure
         aug|        12|          5|        4|     44.4%|     25.0%|     32.0%
         dim|        28|        135|      310|     69.7%|     91.7%|     79.2%
        dim7|        39|         15|       71|     82.6%|     64.5%|     72.4%
        hdim|       122|         45|      130|     74.3%|     51.6%|     60.9%
         inc|        35|         24|        6|     20.0%|     14.6%|     16.9%
       maior|       159|        296|     3844|     92.9%|     96.0%|     94.4%
